[11/04/2019 | 14:05:09] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/04/2019 | 17:23:38] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "Hotring"
[11/04/2019 | 17:33:31] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "Hotring"
[11/04/2019 | 21:10:57] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/04/2019 | 21:21:51] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/04/2019 | 21:25:57] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/04/2019 | 21:31:43] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/04/2019 | 21:35:46] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/04/2019 | 21:40:04] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/05/2019 | 12:05:50] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/05/2019 | 12:22:51] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/05/2019 | 12:28:06] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/05/2019 | 14:41:56] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/07/2019 | 14:08:34] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[11/14/2019 | 19:15:39] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "Hotring"
[11/14/2019 | 19:16:29] [GIVECAR] ]iL[Bryle ha spawneado para ]iL[Bryle un "NRG-500"
[07/25/2020 | 12:38:22] [ADMIN] Jeff_Hel[ID:0] le ha dado a todos los jugadores dinero - Cantidad: 8000.
[07/25/2020 | 15:47:00] [CAR] Jeff_Hel ha spawneado un "Landstalker" (Modelo: 400)
[07/25/2020 | 21:54:02] [CAR] Jefferson ha spawneado un "Landstalker" (Modelo: 400)
[07/26/2020 | 18:16:58] [CAR] Jefferson ha spawneado un "Bravura" (Modelo: 401)
[07/26/2020 | 18:21:50] [CAR] Jefferson ha spawneado un "Picador" (Modelo: 600)
[07/26/2020 | 18:25:40] [CAR] Jefferson ha spawneado un "NRG-500" (Modelo: 522)
[07/26/2020 | 18:26:34] [CAR] Jefferson ha spawneado un "Maverick" (Modelo: 487)
[07/26/2020 | 20:11:55] [CAR] Jefferson ha spawneado un "Turismo" (Modelo: 451)
[07/26/2020 | 21:00:14] [CAR] Jefferson ha spawneado un "Landstalker" (Modelo: 400)
[07/29/2020 | 12:58:52] [CAR] [GP]Garlic ha spawneado un "NRG-500" (Modelo: 522)
[07/29/2020 | 13:02:09] [SETHEAL] [GP]Garlic le ha seteado a [GP]Garlic la vida en 90
[07/29/2020 | 13:32:42] [CAR] [GP]Garlic ha spawneado un "NRG-500" (Modelo: 522)
[07/29/2020 | 13:42:34] [CAR] [GP]Garlic ha spawneado un "NRG-500" (Modelo: 522)
[07/29/2020 | 13:59:20] [ADMIN] [GP]Garlic[ID:0] te ha dado a [GP]Garlic Shotgun[ID:25] con 9 de municion.
[07/29/2020 | 13:59:46] [ADMIN] [GP]Garlic[ID:0] te ha dado a [GP]Garlic Chainsaw[ID:9] con 9 de municion.
[07/29/2020 | 14:00:49] [ADMIN] [GP]Garlic[ID:0] te ha dado a [GP]Garlic Combat Shotgun[ID:27] con 99 de municion.
[07/29/2020 | 16:28:16] [CAR] [GP]Garlic ha spawneado un "NRG-500" (Modelo: 522)
[07/29/2020 | 21:58:07] [CAR] [GP]Garlic ha spawneado un "Bobcat" (Modelo: 422)
[08/02/2020 | 23:52:41] [CAR] [GP]Jeff ha spawneado un "NRG-500" (Modelo: 522)
[10/26/2020 | 21:55:03] [GIVECAR] Bryle.[cB] ha spawneado para Bryle.[cB] un "NRG-500"
[10/26/2020 | 21:59:15] [SLAP] Bryle.[cB] le diÃ³ slap a KatoRce por a
[10/26/2020 | 22:02:18] [ADMIN] Bryle.[cB] crasheo al jugador KatoRce
[10/26/2020 | 22:02:38] [ADMIN] Bryle.[cB] crasheo al jugador Kince
[10/26/2020 | 22:02:54] [ADMIN] Bryle.[cB] crasheo al jugador KatoRce
[10/26/2020 | 22:06:07] [EXPLODE] Bryle.[cB] explotÃ³ a KatoRce por N/A
[10/26/2020 | 22:06:09] [EXPLODE] Bryle.[cB] explotÃ³ a Saso_______ por N/A
[10/27/2020 | 21:45:19] [GIVECAR] Bryle.__ ha spawneado para Bryle.__ un "NRG-500"
[10/27/2020 | 21:49:43] [GIVECAR] Bryle.__ ha spawneado para ErickCaBezon. un "NRG-500"
[10/27/2020 | 22:12:44] [GIVECAR] Bryle.__ ha spawneado para Flip un "NRG-500"
[10/27/2020 | 22:16:45] [GIVECAR] Bryle.__ ha spawneado para Bryle.__ un "Maverick"
[09/20/2021 | 15:04:55] [GIVECAR] Bryle ha spawneado para Bryle un "Hotring"
[09/20/2021 | 15:06:33] [GIVECAR] Bryle ha spawneado para Bryle un "Hotring"
[09/20/2021 | 15:08:32] [GIVECAR] Bryle ha spawneado para Bryle un "Hotring"
