[10/26/2020 | 21:51:05] [KICKED] Saso_______ ha sido expulsado del servidor [Admin: Bryle.[cB]] [Razon: Puta]
[10/26/2020 | 21:52:18] [KICKED] Saso_______ ha sido expulsado del servidor [Admin: Bryle.[cB]] [Razon: Puta]
[10/27/2020 | 22:26:01] [KICKED] Bryle.__ ha sido expulsado del servidor [Admin: Flip] [Razon: N/A]
[10/27/2020 | 22:26:10] [KICKED] Bryle.__ ha sido expulsado del servidor [Admin: Flip] [Razon: puto]
[10/27/2020 | 22:26:17] [KICKED] ErickCaBezon. ha sido expulsado del servidor [Admin: Flip] [Razon: a]
[10/27/2020 | 22:26:50] [KICKED] Flip ha sido expulsado del servidor [Admin: ErickCaBezon.] [Razon: adios caga samp]
[10/27/2020 | 22:27:18] [KICKED] Flip ha sido expulsado del servidor [Admin: Bryle.__] [Razon: Asd]
[10/27/2020 | 22:35:21] [KICKED] Bryle.__ ha sido expulsado del servidor [Admin: Bryle.__] [Razon: asd]
[10/27/2020 | 22:35:33] [KICKED] ErickCaBezon. ha sido expulsado del servidor [Admin: Bryle.__] [Razon: asd]
[10/27/2020 | 22:59:08] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:11] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:13] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:14] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:14] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:14] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:15] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:15] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:15] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:17] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:17] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:26] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:27] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:27] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:28] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
[10/27/2020 | 22:59:28] [KICKED] Bryle.___ ha sido expulsado del servidor [Admin: Bryle.___] [Razon: asdas]
