[11/05/2019 | 12:14:15] [SETSCORE] ]iL[Bryle seteo el score de ]iL[Bryle en: 10000
[07/25/2020 | 12:34:11] [ADMIN] Jeff_Hel[ID:0] le ha seteado a todos los jugadores el dinero en: 10000.
[07/25/2020 | 12:56:55] [SETSCORE] Jeff_Hel seteo el score de Jeff_Hel en: 0
[07/25/2020 | 12:57:09] [SETSCORE] Jeff_Hel seteo el score de  en: 0
[07/25/2020 | 12:57:35] [DINERO] Jeff_Hel le ha seteado el dinero a Jeff_Hel en 0.
[07/25/2020 | 15:47:26] [DINERO] Jeff_Hel le ha seteado el dinero a Jeff_Hel en 9000.
[07/25/2020 | 15:47:38] [DINERO] Jeff_Hel le ha seteado el dinero a Jeff_Hel en 900000.
[07/25/2020 | 15:51:21] [SETSCORE] Jefferson seteo el score de Jefferson en: 1000
[07/25/2020 | 15:51:26] [SETSCORE] Jefferson seteo el score de Jefferson en: 10000
[07/25/2020 | 18:35:57] [SETSKIN] {FF6838}Jefferson {FFFFFF}la cambio a Jefferson el skinid {AFAFAF}1
[07/25/2020 | 18:36:00] [SETSKIN] {FF6838}Jefferson {FFFFFF}la cambio a Jefferson el skinid {AFAFAF}2
[07/25/2020 | 18:36:04] [SETSKIN] {FF6838}Jefferson {FFFFFF}la cambio a Jefferson el skinid {AFAFAF}3
[07/25/2020 | 18:36:06] [SETSKIN] {FF6838}Jefferson {FFFFFF}la cambio a Jefferson el skinid {AFAFAF}4
[07/25/2020 | 18:36:09] [SETSKIN] {FF6838}Jefferson {FFFFFF}la cambio a Jefferson el skinid {AFAFAF}5
[07/25/2020 | 18:36:12] [SETSKIN] {FF6838}Jefferson {FFFFFF}la cambio a Jefferson el skinid {AFAFAF}6
[07/25/2020 | 18:36:14] [SETSKIN] {FF6838}Jefferson {FFFFFF}la cambio a Jefferson el skinid {AFAFAF}7
[07/25/2020 | 18:36:16] [SETSKIN] {FF6838}Jefferson {FFFFFF}la cambio a Jefferson el skinid {AFAFAF}8
[07/25/2020 | 18:36:32] [SETSKIN] {FF6838}Jefferson {FFFFFF}la cambio a Jefferson el skinid {AFAFAF}10
[07/25/2020 | 18:36:36] [SETSKIN] {FF6838}Jefferson {FFFFFF}la cambio a Jefferson el skinid {AFAFAF}11
[07/25/2020 | 18:36:37] [SETSKIN] {FF6838}Jefferson {FFFFFF}la cambio a Jefferson el skinid {AFAFAF}12
